dt,open,high,low,close,volume
2021-01-01,0.18134,0.18473,0.17,0.17509,462201570.9
2021-01-02,0.17505,0.18457,0.16793,0.17742,660303281.2
2021-01-03,0.1774,0.2096,0.17255,0.20615,1201451449.3
2021-01-04,0.20625,0.23992,0.19203,0.22528,1463415575.6
2021-01-05,0.22518,0.26429,0.20696,0.25873,1478887679.33
2021-01-06,0.25889,0.34772,0.25347,0.33309,2059110042.76
2021-01-07,0.33311,0.3553,0.2785,0.29928,1411321698.55
2021-01-08,0.29917,0.32165,0.26175,0.30389,1284205249.4
2021-01-09,0.30392,0.33851,0.29583,0.33062,820267450.7
2021-01-10,0.33062,0.3412,0.27948,0.30153,908667596.0
2021-01-11,0.30154,0.30397,0.2288,0.2757,1530569582.3
2021-01-12,0.27563,0.31442,0.2628,0.28888,1059013244.8
2021-01-13,0.28875,0.31587,0.27,0.3123,715473111.9
2021-01-14,0.31246,0.32455,0.29646,0.31201,656502674.0
2021-01-15,0.31203,0.33225,0.27739,0.30188,853517402.8
2021-01-16,0.30189,0.36696,0.30186,0.35071,1219589043.23
2021-01-17,0.35057,0.3974,0.34076,0.38081,1422650839.29
2021-01-18,0.38077,0.39724,0.36413,0.37123,636785470.4
2021-01-19,0.37132,0.39001,0.362,0.3672,606641543.0
2021-01-20,0.3672,0.3769,0.33033,0.37532,656351514.5
2021-01-21,0.37548,0.37945,0.3,0.30785,785029729.8
2021-01-22,0.30786,0.3598,0.28,0.34867,898752288.0
2021-01-23,0.34842,0.35763,0.33541,0.34583,418300948.7
2021-01-24,0.34575,0.36926,0.33613,0.35345,458536220.6
2021-01-25,0.35346,0.36415,0.34034,0.34308,407390809.5
2021-01-26,0.34284,0.35111,0.32404,0.3433,354428194.0
2021-01-27,0.34342,0.34396,0.30404,0.31144,422544056.1
2021-01-28,0.31142,0.35575,0.30431,0.34409,487709261.2
2021-01-29,0.34409,0.36836,0.3305,0.34752,666472809.5
2021-01-30,0.34764,0.37694,0.337,0.364,510716622.4
2021-01-31,0.36395,0.37752,0.338,0.34475,399794774.9
2021-02-01,0.34464,0.42411,0.33214,0.40876,844822325.13
2021-02-02,0.40882,0.4559,0.38868,0.42498,1501769862.49
2021-02-03,0.425,0.44961,0.41509,0.44189,541252929.4
2021-02-04,0.44213,0.45,0.41003,0.43934,536142412.3
2021-02-05,0.43903,0.56,0.43638,0.53917,1277155737.26
2021-02-06,0.53874,0.66706,0.51901,0.63444,1255504052.74
2021-02-07,0.63444,0.70888,0.58,0.66109,1596532267.5
2021-02-08,0.66109,0.7238,0.63191,0.67638,1008667679.66
2021-02-09,0.67674,0.71206,0.6624,0.70562,590482327.7
2021-02-10,0.70562,0.95306,0.70555,0.93966,1693219939.33
2021-02-11,0.94041,0.98,0.86513,0.92796,975100368.22
2021-02-12,0.9281,0.94825,0.866,0.92426,649547803.8
2021-02-13,0.92418,0.95053,0.82,0.91299,586878561.3
2021-02-14,0.91303,0.919,0.80666,0.84364,539495015.4
2021-02-15,0.84288,0.911,0.6856,0.86143,932826536.9
2021-02-16,0.86128,0.90591,0.83334,0.87,526075390.6
2021-02-17,0.8699,0.89745,0.8215,0.89206,460328636.1
2021-02-18,0.89206,0.9578,0.89202,0.91442,580074009.4
2021-02-19,0.91433,0.9456,0.87851,0.92581,547803715.8
2021-02-20,0.92597,1.2,0.91329,1.11568,1480541916.53
2021-02-21,1.1156,1.15172,1.0675,1.09894,636265765.2
2021-02-22,1.09955,1.146,0.831,1.09703,1333970209.1
2021-02-23,1.09728,1.142,0.81,0.96197,1625220448.7
